LARG,wt,TIAM
1064.128,1571.232,3058.432
1374.464,1945.632,1766.752
1357.824,1087.424,1180.192
1228.448,1322.88,3849.248
1271.296,1542.944,1616.992
1284.608,1126.528,1703.104
1531.712,1541.696,2699.008
1269.216,2227.68,2788.448
1255.904,1661.088,1396.512
1744.288,1572.064,3906.656
1055.392,1839.552,2250.144
1166.048,1193.504,893.568
775.424,1804.608,1124.032
542.048,1173.12,1259.648
1399.424,2367.872,1548.352
794.976,2122.016,1490.944
1688.544,1272.128,1205.152
921.856,477.152,948.48
1338.272,875.68,1273.792
1357.824,1250.496,1916.096
1046.24,1458.08,1780.896
1402.752,1567.488,847.392
1566.656,1565.408,1119.872
1108.224,1240.096,1252.992
1165.632,1621.984,591.552
1370.304,1131.104,999.648
1412.736,564.512,2016.768
1460.992,1955.2,2079.168
1257.568,1826.24,2145.728
1202.656,1707.264,730.08
1547.936,1475.968,1391.936
2075.84,554.112,2350.4
812.864,1530.88,1816.672
983.84,2080.832,1411.072
637.728,2042.976,1453.504
958.464,1230.528,1724.736
946.4,1069.952,877.344
781.664,1545.024,1145.664
787.488,1311.648,1825.824
1427.296,1213.472,1833.312
2087.488,921.44,1054.144
1504.256,940.576,1579.552
1136.928,1103.232,1969.76
1512.576,1153.568,1854.112
923.52,1203.072,1722.656
955.552,1493.44,1331.2
1107.808,1150.656,1883.648
1002.144,1140.256,3788.512
1192.672,2036.736,2962.752
1514.656,2469.376,2560.064
1034.176,1260.896,1947.296
1523.808,1012.96,2691.52
1196.416,689.728,1597.024
1021.28,2254.304,1699.36
1677.312,2593.76,1639.456
1541.28,1334.112,1944.384
1534.624,1936.064,1936.064
1615.744,1204.736,1348.256
1116.96,1905.696,2122.432
2336.256,1851.616,2375.776
1150.656,1466.4,1465.984
1127.36,2069.6,1184.768
940.16,1646.944,984.672
923.104,990.912,1282.944
871.52,763.36,2503.904
1453.504,1408.576,1828.32
1592.864,2047.136,1796.704
1369.472,1549.184,1530.464
1725.152,1525.472,1182.688
2152.384,1661.088,1300
657.28,1144.832,1109.472
1189.76,1546.272,1205.152
2781.376,2092.064,1394.848
1049.984,1789.632,902.72
1890.72,,2957.344
2146.976,,3894.176
3085.056,,1291.264
1067.872,,1703.936
1159.808,,2560.48
1550.016,,1383.616
1633.216,,1836.64
1733.472,,2058.784
1857.856,,1755.936
1494.688,,2311.296
1186.016,,2386.176
1604.512,,2702.336
524.576,,1685.216
2064.608,,2015.936
1087.008,,1974.336
3290.976,,1706.432
2545.92,,1525.888
1004.64,,2266.368
928.928,,2434.016
1404,,2288
1156.064,,1451.84
1229.696,,3326.336
1496.352,,1707.264
1304.16,,1524.224
1406.08,,1580.8
,,1077.44
,,1532.96
,,851.968
,,1065.376
,,1585.376
,,1050.4
,,3089.216
,,1781.312
,,2609.984
,,2016.768
,,2981.056